,12_1,12_2,13_1,13_3,14_1,14_4,15_1,15_5,23_2,23_3,24_2,24_4,25_2,25_5,34_3,34_4,35_3,35_5,45_4,45_5
338,2031,694.0,2031,1505.0,,,,,581,75.0,,,,,,,,,,
339,2035,1520.0,2035,434.0,,,,,584,1279.0,,,,,,,,,,
340,2036,803.0,2036,1366.0,,,,,591,804.0,,,,,,,,,,
341,2039,754.0,2039,1170.0,,,,,594,1100.0,,,,,,,,,,
342,2043,340.0,2043,1339.0,,,,,600,2084.0,,,,,,,,,,
343,2046,1408.0,2046,2082.0,,,,,601,311.0,,,,,,,,,,
344,2049,250.0,2049,1391.0,,,,,602,1147.0,,,,,,,,,,
345,2053,1655.0,2053,1176.0,,,,,605,1794.0,,,,,,,,,,
346,2055,552.0,2055,1576.0,,,,,610,1027.0,,,,,,,,,,
347,2057,1400.0,2057,1642.0,,,,,611,699.0,,,,,,,,,,
348,2062,194.0,2062,575.0,,,,,612,327.0,,,,,,,,,,
349,2063,1224.0,2063,177.0,,,,,625,780.0,,,,,,,,,,
350,2071,90.0,2071,605.0,,,,,627,1159.0,,,,,,,,,,
351,2080,1723.0,2080,2070.0,,,,,632,1385.0,,,,,,,,,,
352,2088,1767.0,2088,2042.0,,,,,635,129.0,,,,,,,,,,
353,2097,1281.0,2097,761.0,,,,,638,2020.0,,,,,,,,,,
354,2099,1209.0,2099,1821.0,,,,,652,543.0,,,,,,,,,,
355,2112,1912.0,2112,1393.0,,,,,657,573.0,,,,,,,,,,
356,2119,513.0,2119,1405.0,,,,,660,1929.0,,,,,,,,,,
357,2123,37.0,2123,710.0,,,,,661,749.0,,,,,,,,,,
358,2137,1572.0,2137,1383.0,,,,,667,380.0,,,,,,,,,,
359,2140,1784.0,2140,1758.0,,,,,670,1592.0,,,,,,,,,,
360,720,,1024,,,,,,671,402.0,,,,,,,,,,
361,1338,,1618,,,,,,674,1557.0,,,,,,,,,,
362,1923,,2133,,,,,,682,512.0,,,,,,,,,,
363,1775,,763,,,,,,684,1452.0,,,,,,,,,,
364,230,,2021,,,,,,695,598.0,,,,,,,,,,
365,313,,1375,,,,,,697,2003.0,,,,,,,,,,
366,1333,,940,,,,,,700,484.0,,,,,,,,,,
367,1086,,1013,,,,,,706,329.0,,,,,,,,,,
368,1139,,863,,,,,,710,361.0,,,,,,,,,,
369,785,,1911,,,,,,712,229.0,,,,,,,,,,
370,961,,632,,,,,,715,294.0,,,,,,,,,,
371,1757,,814,,,,,,719,1657.0,,,,,,,,,,
372,1017,,164,,,,,,726,1723.0,,,,,,,,,,
373,186,,1117,,,,,,731,714.0,,,,,,,,,,
374,1306,,1444,,,,,,738,1185.0,,,,,,,,,,
375,1506,,1350,,,,,,739,1712.0,,,,,,,,,,
376,1390,,759,,,,,,741,1560.0,,,,,,,,,,
377,1818,,383,,,,,,744,659.0,,,,,,,,,,
378,1095,,1146,,,,,,748,884.0,,,,,,,,,,
379,2086,,491,,,,,,752,1720.0,,,,,,,,,,
380,1893,,669,,,,,,756,181.0,,,,,,,,,,
381,1005,,1677,,,,,,757,1481.0,,,,,,,,,,
382,603,,1900,,,,,,759,128.0,,,,,,,,,,
383,1301,,1074,,,,,,762,1282.0,,,,,,,,,,
384,713,,1796,,,,,,763,510.0,,,,,,,,,,
385,1291,,1697,,,,,,764,1288.0,,,,,,,,,,
386,946,,904,,,,,,774,1245.0,,,,,,,,,,
387,913,,378,,,,,,776,1668.0,,,,,,,,,,
388,430,,1725,,,,,,777,1787.0,,,,,,,,,,
389,1467,,1521,,,,,,781,353.0,,,,,,,,,,
390,87,,1001,,,,,,784,1107.0,,,,,,,,,,
391,978,,1109,,,,,,788,1810.0,,,,,,,,,,
392,1801,,1605,,,,,,790,513.0,,,,,,,,,,
393,82,,2024,,,,,,791,1909.0,,,,,,,,,,
394,1308,,435,,,,,,793,1269.0,,,,,,,,,,
395,1656,,1798,,,,,,800,419.0,,,,,,,,,,
396,464,,2076,,,,,,806,23.0,,,,,,,,,,
397,1743,,318,,,,,,809,313.0,,,,,,,,,,
398,1804,,1661,,,,,,814,1522.0,,,,,,,,,,
399,561,,210,,,,,,815,61.0,,,,,,,,,,
400,916,,249,,,,,,821,846.0,,,,,,,,,,
401,576,,952,,,,,,823,277.0,,,,,,,,,,
402,2060,,1143,,,,,,829,2120.0,,,,,,,,,,
403,1612,,1886,,,,,,832,461.0,,,,,,,,,,
404,147,,479,,,,,,836,2059.0,,,,,,,,,,
405,812,,1396,,,,,,837,1667.0,,,,,,,,,,
406,1859,,1785,,,,,,841,152.0,,,,,,,,,,
407,1101,,771,,,,,,842,1554.0,,,,,,,,,,
408,1561,,1423,,,,,,847,1016.0,,,,,,,,,,
409,158,,757,,,,,,849,2141.0,,,,,,,,,,
410,683,,661,,,,,,850,1096.0,,,,,,,,,,
411,515,,1080,,,,,,851,886.0,,,,,,,,,,
412,1869,,443,,,,,,856,1138.0,,,,,,,,,,
413,1180,,687,,,,,,857,268.0,,,,,,,,,,
414,447,,127,,,,,,863,1840.0,,,,,,,,,,
415,963,,450,,,,,,869,848.0,,,,,,,,,,
416,92,,674,,,,,,870,307.0,,,,,,,,,,
417,1226,,2002,,,,,,873,1998.0,,,,,,,,,,
418,1634,,1779,,,,,,881,2117.0,,,,,,,,,,
419,614,,1045,,,,,,887,78.0,,,,,,,,,,
420,1922,,1470,,,,,,894,187.0,,,,,,,,,,
421,511,,2128,,,,,,895,989.0,,,,,,,,,,
422,606,,233,,,,,,896,31.0,,,,,,,,,,
423,933,,284,,,,,,900,916.0,,,,,,,,,,
424,510,,442,,,,,,901,1083.0,,,,,,,,,,
425,1935,,406,,,,,,904,1594.0,,,,,,,,,,
426,654,,1566,,,,,,907,634.0,,,,,,,,,,
427,656,,2077,,,,,,909,526.0,,,,,,,,,,
428,346,,1317,,,,,,910,753.0,,,,,,,,,,
429,1812,,355,,,,,,927,885.0,,,,,,,,,,
430,1899,,1286,,,,,,929,157.0,,,,,,,,,,
431,302,,993,,,,,,932,794.0,,,,,,,,,,
432,1768,,1964,,,,,,940,2050.0,,,,,,,,,,
433,419,,1548,,,,,,945,785.0,,,,,,,,,,
434,128,,1356,,,,,,952,1186.0,,,,,,,,,,
435,1819,,615,,,,,,972,1830.0,,,,,,,,,,
436,1157,,1783,,,,,,977,133.0,,,,,,,,,,
437,1609,,1087,,,,,,988,185.0,,,,,,,,,,
438,1298,,938,,,,,,995,1280.0,,,,,,,,,,
439,358,,2040,,,,,,999,831.0,,,,,,,,,,
440,1466,,1703,,,,,,1010,570.0,,,,,,,,,,
441,512,,1902,,,,,,1013,282.0,,,,,,,,,,
442,108,,1907,,,,,,1014,696.0,,,,,,,,,,
443,106,,212,,,,,,1019,1649.0,,,,,,,,,,
444,991,,1724,,,,,,1020,725.0,,,,,,,,,,
445,2017,,11,,,,,,1024,332.0,,,,,,,,,,
446,1051,,1060,,,,,,1025,2086.0,,,,,,,,,,
447,950,,1558,,,,,,1028,1719.0,,,,,,,,,,
448,743,,309,,,,,,1037,1504.0,,,,,,,,,,
449,908,,2074,,,,,,1038,1095.0,,,,,,,,,,
450,369,,1595,,,,,,1045,367.0,,,,,,,,,,
451,556,,2096,,,,,,1046,1308.0,,,,,,,,,,
452,1894,,800,,,,,,1049,672.0,,,,,,,,,,
453,692,,1437,,,,,,1055,1746.0,,,,,,,,,,
454,934,,1628,,,,,,1060,768.0,,,,,,,,,,
455,571,,1323,,,,,,1063,1672.0,,,,,,,,,,
456,996,,1755,,,,,,1066,1284.0,,,,,,,,,,
457,1557,,870,,,,,,1068,1645.0,,,,,,,,,,
458,1620,,514,,,,,,1072,1429.0,,,,,,,,,,
459,1606,,12,,,,,,1074,451.0,,,,,,,,,,
460,760,,943,,,,,,1076,576.0,,,,,,,,,,
461,1280,,1461,,,,,,1077,643.0,,,,,,,,,,
462,1389,,558,,,,,,1080,1382.0,,,,,,,,,,
463,1242,,670,,,,,,1090,1104.0,,,,,,,,,,
464,573,,1502,,,,,,1091,254.0,,,,,,,,,,
465,570,,1130,,,,,,1092,1224.0,,,,,,,,,,
466,1498,,1358,,,,,,1094,1899.0,,,,,,,,,,
467,1625,,1650,,,,,,1098,70.0,,,,,,,,,,
468,1705,,1419,,,,,,1102,694.0,,,,,,,,,,
469,175,,1037,,,,,,1103,1750.0,,,,,,,,,,
470,1129,,1253,,,,,,1109,1276.0,,,,,,,,,,
471,68,,1718,,,,,,1110,471.0,,,,,,,,,,
472,2120,,1319,,,,,,1111,1711.0,,,,,,,,,,
473,1235,,1222,,,,,,1114,1848.0,,,,,,,,,,
474,935,,202,,,,,,1117,879.0,,,,,,,,,,
475,624,,171,,,,,,1121,724.0,,,,,,,,,,
476,456,,712,,,,,,1130,1940.0,,,,,,,,,,
477,1929,,784,,,,,,1135,668.0,,,,,,,,,,
478,1879,,153,,,,,,1141,412.0,,,,,,,,,,
479,959,,628,,,,,,1146,57.0,,,,,,,,,,
480,110,,657,,,,,,1162,1564.0,,,,,,,,,,
481,1331,,671,,,,,,1168,825.0,,,,,,,,,,
482,1976,,1586,,,,,,1169,2107.0,,,,,,,,,,
483,1174,,272,,,,,,1170,389.0,,,,,,,,,,
484,751,,253,,,,,,1176,961.0,,,,,,,,,,
485,819,,1206,,,,,,1189,196.0,,,,,,,,,,
486,858,,1432,,,,,,1193,918.0,,,,,,,,,,
487,678,,469,,,,,,1197,1235.0,,,,,,,,,,
488,1986,,887,,,,,,1198,381.0,,,,,,,,,,
489,436,,1376,,,,,,1206,921.0,,,,,,,,,,
490,770,,927,,,,,,1208,278.0,,,,,,,,,,
491,418,,1820,,,,,,1211,1126.0,,,,,,,,,,
492,1056,,1189,,,,,,1217,650.0,,,,,,,,,,
493,2045,,682,,,,,,1222,2030.0,,,,,,,,,,
494,1649,,1863,,,,,,1223,1067.0,,,,,,,,,,
495,432,,2011,,,,,,1229,106.0,,,,,,,,,,
496,1624,,1460,,,,,,1230,1204.0,,,,,,,,,,
497,1473,,726,,,,,,1253,955.0,,,,,,,,,,
498,1254,,86,,,,,,1266,1501.0,,,,,,,,,,
499,1811,,473,,,,,,1268,618.0,,,,,,,,,,
500,1525,,788,,,,,,1270,1479.0,,,,,,,,,,
501,182,,1223,,,,,,1272,1630.0,,,,,,,,,,
502,1245,,1690,,,,,,1285,1225.0,,,,,,,,,,
503,1043,,1314,,,,,,1286,1294.0,,,,,,,,,,
504,329,,247,,,,,,1297,561.0,,,,,,,,,,
505,1214,,700,,,,,,1300,1792.0,,,,,,,,,,
506,1910,,217,,,,,,1302,124.0,,,,,,,,,,
507,53,,1984,,,,,,1307,144.0,,,,,,,,,,
508,886,,1538,,,,,,1309,524.0,,,,,,,,,,
509,1104,,1773,,,,,,1314,53.0,,,,,,,,,,
510,187,,1756,,,,,,1319,39.0,,,,,,,,,,
511,2037,,1307,,,,,,1323,819.0,,,,,,,,,,
512,129,,1247,,,,,,1324,344.0,,,,,,,,,,
513,1185,,1764,,,,,,1335,390.0,,,,,,,,,,
514,1709,,1193,,,,,,1336,1801.0,,,,,,,,,,
515,428,,1091,,,,,,1337,2026.0,,,,,,,,,,
516,461,,35,,,,,,1340,1584.0,,,,,,,,,,
517,94,,1420,,,,,,1341,582.0,,,,,,,,,,
518,279,,1777,,,,,,1342,456.0,,,,,,,,,,
519,1036,,1341,,,,,,1344,985.0,,,,,,,,,,
520,159,,793,,,,,,1350,37.0,,,,,,,,,,
521,1463,,1342,,,,,,1358,996.0,,,,,,,,,,
522,266,,1384,,,,,,1363,1833.0,,,,,,,,,,
523,342,,684,,,,,,1365,1101.0,,,,,,,,,,
524,2048,,1076,,,,,,1366,1937.0,,,,,,,,,,
525,1774,,382,,,,,,1369,631.0,,,,,,,,,,
526,361,,506,,,,,,1376,319.0,,,,,,,,,,
527,714,,239,,,,,,1383,2103.0,,,,,,,,,,
528,2078,,1854,,,,,,1384,523.0,,,,,,,,,,
529,629,,1063,,,,,,1391,438.0,,,,,,,,,,
530,1173,,24,,,,,,1392,458.0,,,,,,,,,,
531,136,,1702,,,,,,1393,676.0,,,,,,,,,,
532,1478,,895,,,,,,1404,1486.0,,,,,,,,,,
533,133,,2098,,,,,,1405,1638.0,,,,,,,,,,
534,753,,660,,,,,,1409,597.0,,,,,,,,,,
535,828,,502,,,,,,1410,2025.0,,,,,,,,,,
536,1958,,1477,,,,,,1411,1191.0,,,,,,,,,,
537,42,,296,,,,,,1413,54.0,,,,,,,,,,
538,1673,,741,,,,,,1416,489.0,,,,,,,,,,
539,376,,1570,,,,,,1420,441.0,,,,,,,,,,
540,1370,,379,,,,,,1421,1006.0,,,,,,,,,,
541,737,,1494,,,,,,1423,1086.0,,,,,,,,,,
542,1078,,1490,,,,,,1424,1752.0,,,,,,,,,,
543,227,,973,,,,,,1425,273.0,,,,,,,,,,
544,2026,,791,,,,,,1432,72.0,,,,,,,,,,
545,288,,1732,,,,,,1433,413.0,,,,,,,,,,
546,964,,769,,,,,,1434,758.0,,,,,,,,,,
547,373,,1456,,,,,,1435,883.0,,,,,,,,,,
548,298,,1482,,,,,,1437,1036.0,,,,,,,,,,
549,618,,1211,,,,,,1441,477.0,,,,,,,,,,
550,1296,,1579,,,,,,1449,1122.0,,,,,,,,,,
551,172,,1090,,,,,,1451,1273.0,,,,,,,,,,
552,157,,820,,,,,,1453,1625.0,,,,,,,,,,
553,1789,,703,,,,,,1456,1417.0,,,,,,,,,,
554,619,,95,,,,,,1458,1278.0,,,,,,,,,,
555,653,,1951,,,,,,1461,691.0,,,,,,,,,,
556,1381,,1092,,,,,,1464,496.0,,,,,,,,,,
557,852,,612,,,,,,1469,520.0,,,,,,,,,,
558,277,,1169,,,,,,1470,216.0,,,,,,,,,,
559,1739,,1363,,,,,,1477,1939.0,,,,,,,,,,
560,1950,,500,,,,,,1482,94.0,,,,,,,,,,
561,876,,493,,,,,,1483,864.0,,,,,,,,,,
562,1107,,719,,,,,,1484,120.0,,,,,,,,,,
563,839,,215,,,,,,1487,664.0,,,,,,,,,,
564,343,,1877,,,,,,1491,1910.0,,,,,,,,,,
565,2090,,1822,,,,,,1494,306.0,,,,,,,,,,
566,1155,,252,,,,,,1495,1881.0,,,,,,,,,,
567,2038,,2012,,,,,,1500,1535.0,,,,,,,,,,
568,1641,,832,,,,,,1502,186.0,,,,,,,,,,
569,451,,208,,,,,,1505,1692.0,,,,,,,,,,
570,1394,,420,,,,,,1521,926.0,,,,,,,,,,
571,1454,,275,,,,,,1530,82.0,,,,,,,,,,
572,817,,1365,,,,,,1531,137.0,,,,,,,,,,
573,1693,,623,,,,,,1534,571.0,,,,,,,,,,
574,1855,,1451,,,,,,1539,728.0,,,,,,,,,,
575,2116,,80,,,,,,1540,962.0,,,,,,,,,,
576,1201,,1309,,,,,,1542,751.0,,,,,,,,,,
577,1583,,1340,,,,,,1548,1662.0,,,,,,,,,,
578,877,,562,,,,,,1549,2016.0,,,,,,,,,,
579,1164,,945,,,,,,1550,1355.0,,,,,,,,,,
580,1183,,1025,,,,,,1551,603.0,,,,,,,,,,
581,367,,1272,,,,,,1555,1629.0,,,,,,,,,,
582,61,,774,,,,,,1558,519.0,,,,,,,,,,
583,622,,2131,,,,,,1566,437.0,,,,,,,,,,
584,1402,,1978,,,,,,1570,303.0,,,,,,,,,,
585,168,,860,,,,,,1571,374.0,,,,,,,,,,
586,139,,1098,,,,,,1574,871.0,,,,,,,,,,
587,1630,,1119,,,,,,1576,858.0,,,,,,,,,,
588,557,,638,,,,,,1578,250.0,,,,,,,,,,
589,587,,739,,,,,,1579,2116.0,,,,,,,,,,
590,422,,1988,,,,,,1586,408.0,,,,,,,,,,
591,412,,592,,,,,,1595,565.0,,,,,,,,,,
592,957,,49,,,,,,1605,2143.0,,,,,,,,,,
593,1659,,1895,,,,,,1607,1812.0,,,,,,,,,,
594,1927,,1828,,,,,,1610,1207.0,,,,,,,,,,
595,1664,,1539,,,,,,1614,1569.0,,,,,,,,,,
596,1972,,411,,,,,,1618,546.0,,,,,,,,,,
597,1695,,1842,,,,,,1623,1512.0,,,,,,,,,,
598,1113,,1887,,,,,,1626,1381.0,,,,,,,,,,
599,146,,30,,,,,,1628,1160.0,,,,,,,,,,
600,2083,,591,,,,,,1633,328.0,,,,,,,,,,
601,897,,566,,,,,,1635,899.0,,,,,,,,,,
602,1816,,475,,,,,,1642,1946.0,,,,,,,,,,
603,921,,1555,,,,,,1644,1641.0,,,,,,,,,,
604,1089,,391,,,,,,1650,1338.0,,,,,,,,,,
605,1593,,1311,,,,,,1651,1044.0,,,,,,,,,,
606,2025,,262,,,,,,1661,1315.0,,,,,,,,,,
607,316,,170,,,,,,1665,1226.0,,,,,,,,,,
608,1191,,1817,,,,,,1669,1577.0,,,,,,,,,,
609,976,,1229,,,,,,1677,1934.0,,,,,,,,,,
610,1636,,730,,,,,,1686,1306.0,,,,,,,,,,
611,708,,584,,,,,,1690,830.0,,,,,,,,,,
612,1156,,677,,,,,,1691,1608.0,,,,,,,,,,
613,496,,1623,,,,,,1702,424.0,,,,,,,,,,
614,799,,1274,,,,,,1707,619.0,,,,,,,,,,
615,723,,349,,,,,,1718,1473.0,,,,,,,,,,
616,1518,,6,,,,,,1724,134.0,,,,,,,,,,
617,634,,966,,,,,,1725,2038.0,,,,,,,,,,
618,77,,1965,,,,,,1732,2014.0,,,,,,,,,,
619,1481,,352,,,,,,1733,1699.0,,,,,,,,,,
620,1569,,1197,,,,,,1748,547.0,,,,,,,,,,
621,782,,1255,,,,,,1749,158.0,,,,,,,,,,
622,51,,1031,,,,,,1754,1876.0,,,,,,,,,,
