,12_1,12_2,13_1,13_3,14_1,14_4,15_1,15_5,23_2,23_3,24_2,24_4,25_2,25_5,34_3,34_4,35_3,35_5,45_4,45_5
45,285,519.0,285,620.0,783.0,2015.0,,,429,642.0,783.0,51.0,,,783.0,1568.0,,,,
46,290,557.0,290,1661.0,808.0,1882.0,,,433,728.0,808.0,380.0,,,808.0,566.0,,,,
47,291,758.0,291,226.0,818.0,1123.0,,,452,1957.0,818.0,974.0,,,818.0,584.0,,,,
48,292,1089.0,292,12.0,838.0,1137.0,,,463,169.0,838.0,307.0,,,838.0,1661.0,,,,
49,295,897.0,295,636.0,845.0,1588.0,,,475,804.0,845.0,1032.0,,,845.0,744.0,,,,
50,297,1775.0,297,661.0,854.0,888.0,,,481,1048.0,854.0,665.0,,,854.0,1551.0,,,,
51,299,1436.0,299,766.0,906.0,919.0,,,495,1096.0,906.0,698.0,,,906.0,1605.0,,,,
52,300,256.0,300,1820.0,920.0,1499.0,,,498,141.0,920.0,470.0,,,920.0,1293.0,,,,
53,304,1859.0,304,1087.0,951.0,981.0,,,525,135.0,951.0,108.0,,,951.0,463.0,,,,
54,308,2061.0,308,1168.0,979.0,1837.0,,,545,398.0,979.0,527.0,,,979.0,2130.0,,,,
55,310,1917.0,310,239.0,994.0,892.0,,,553,1205.0,994.0,329.0,,,994.0,1055.0,,,,
56,312,1585.0,312,993.0,1022.0,1161.0,,,579,1402.0,1022.0,305.0,,,1022.0,26.0,,,,
57,317,1101.0,317,1951.0,1026.0,843.0,,,592,373.0,1026.0,353.0,,,1026.0,842.0,,,,
58,320,1966.0,320,1135.0,1052.0,865.0,,,595,872.0,1052.0,1147.0,,,1052.0,1335.0,,,,
59,360,31.0,360,1365.0,1065.0,604.0,,,599,946.0,1065.0,1387.0,,,1065.0,1325.0,,,,
60,362,713.0,362,1470.0,1070.0,1687.0,,,607,1740.0,1070.0,1228.0,,,1070.0,1072.0,,,,
61,386,1905.0,386,1286.0,1115.0,1523.0,,,615,1279.0,1115.0,1160.0,,,1115.0,8.0,,,,
62,387,4.0,387,730.0,1133.0,1152.0,,,616,1999.0,1133.0,365.0,,,1133.0,881.0,,,,
63,394,2129.0,394,155.0,1165.0,2005.0,,,620,303.0,1165.0,1069.0,,,1165.0,943.0,,,,
64,396,377.0,396,866.0,1175.0,1468.0,,,623,969.0,1175.0,1638.0,,,1175.0,280.0,,,,
65,401,1862.0,401,615.0,1177.0,1527.0,,,626,1486.0,1177.0,1620.0,,,1177.0,11.0,,,,
66,403,561.0,403,1206.0,1181.0,1166.0,,,628,621.0,1181.0,62.0,,,1181.0,674.0,,,,
67,404,724.0,404,1324.0,1212.0,992.0,,,636,651.0,1212.0,692.0,,,1212.0,605.0,,,,
68,410,90.0,410,301.0,1220.0,231.0,,,645,828.0,1220.0,1762.0,,,1220.0,1407.0,,,,
69,416,447.0,416,1219.0,1231.0,742.0,,,658,654.0,1231.0,1557.0,,,1231.0,1539.0,,,,
70,421,156.0,421,1521.0,1234.0,453.0,,,669,882.0,1234.0,250.0,,,1234.0,1623.0,,,,
71,431,817.0,431,1309.0,1241.0,1721.0,,,677,2138.0,1241.0,1662.0,,,1241.0,1571.0,,,,
72,444,1236.0,444,24.0,1251.0,1580.0,,,687,42.0,1251.0,1946.0,,,1251.0,1302.0,,,,
73,446,1880.0,446,1117.0,1259.0,1361.0,,,690,1656.0,1259.0,313.0,,,1259.0,1755.0,,,,
74,449,1394.0,449,1432.0,1271.0,855.0,,,703,767.0,1271.0,1331.0,,,1271.0,228.0,,,,
75,453,1554.0,453,2082.0,1367.0,1528.0,,,717,1862.0,1367.0,1129.0,,,1367.0,476.0,,,,
76,494,590.0,494,1845.0,1399.0,201.0,,,729,57.0,1399.0,1966.0,,,1399.0,626.0,,,,
77,497,834.0,497,863.0,1428.0,778.0,,,730,803.0,1428.0,941.0,,,1428.0,150.0,,,,
78,509,931.0,509,1375.0,1472.0,2123.0,,,746,515.0,1472.0,1954.0,,,1472.0,1258.0,,,,
79,517,484.0,517,1170.0,1476.0,1132.0,,,761,720.0,1476.0,417.0,,,1476.0,1240.0,,,,
80,530,51.0,530,1538.0,1488.0,308.0,,,766,458.0,1488.0,1002.0,,,1488.0,443.0,,,,
81,535,879.0,535,1677.0,1517.0,198.0,,,769,250.0,1517.0,916.0,,,1517.0,1198.0,,,,
82,539,1083.0,539,262.0,1532.0,1202.0,,,771,425.0,1532.0,1426.0,,,1532.0,1965.0,,,,
83,544,586.0,544,684.0,1537.0,826.0,,,820,758.0,1537.0,1138.0,,,1537.0,652.0,,,,
84,549,456.0,549,823.0,1591.0,662.0,,,833,2136.0,1591.0,585.0,,,1591.0,1633.0,,,,
85,550,340.0,550,11.0,1621.0,1680.0,,,844,389.0,1621.0,1660.0,,,1621.0,1365.0,,,,
86,555,172.0,555,1964.0,1653.0,2062.0,,,853,15.0,1653.0,1876.0,,,1653.0,1997.0,,,,
87,574,507.0,574,1785.0,1658.0,1497.0,,,860,175.0,1658.0,2141.0,,,1658.0,339.0,,,,
88,577,374.0,577,1391.0,1666.0,1729.0,,,861,1112.0,1666.0,402.0,,,1666.0,1141.0,,,,
89,578,1853.0,578,687.0,1674.0,1885.0,,,866,422.0,1674.0,1438.0,,,1674.0,1675.0,,,,
90,583,1242.0,583,763.0,1684.0,2137.0,,,905,954.0,1684.0,753.0,,,1684.0,1872.0,,,,
91,593,839.0,593,271.0,1688.0,1264.0,,,911,1191.0,1688.0,1127.0,,,1688.0,204.0,,,,
92,596,1701.0,596,800.0,1713.0,1947.0,,,917,950.0,1713.0,1205.0,,,1713.0,1195.0,,,,
93,604,120.0,604,605.0,1717.0,1971.0,,,937,967.0,1717.0,1100.0,,,1717.0,1260.0,,,,
94,617,883.0,617,977.0,1727.0,1519.0,,,938,713.0,1727.0,281.0,,,1727.0,1508.0,,,,
