,12_1,12_2,13_1,13_3,14_1,14_4,15_1,15_5,23_2,23_3,24_2,24_4,25_2,25_5,34_3,34_4,35_3,35_5,45_4,45_5
45,285,1625.0,285,383.0,783.0,1544.0,,,429,696.0,783.0,1975.0,,,783.0,132.0,,,,
46,290,28.0,290,952.0,808.0,1837.0,,,433,266.0,808.0,753.0,,,808.0,143.0,,,,
47,291,430.0,291,1356.0,818.0,944.0,,,452,1397.0,818.0,961.0,,,818.0,153.0,,,,
48,292,319.0,292,1076.0,838.0,1622.0,,,463,209.0,838.0,541.0,,,838.0,382.0,,,,
49,295,2048.0,295,1964.0,845.0,416.0,,,475,37.0,845.0,840.0,,,845.0,463.0,,,,
50,297,1394.0,297,1451.0,854.0,1277.0,,,481,376.0,854.0,1972.0,,,854.0,1324.0,,,,
51,299,1287.0,299,1437.0,906.0,1203.0,,,495,1774.0,906.0,166.0,,,906.0,177.0,,,,
52,300,159.0,300,684.0,920.0,617.0,,,498,527.0,920.0,1816.0,,,920.0,1323.0,,,,
53,304,400.0,304,938.0,951.0,734.0,,,525,101.0,951.0,1331.0,,,951.0,150.0,,,,
54,308,10.0,308,1969.0,979.0,1528.0,,,545,1134.0,979.0,875.0,,,979.0,351.0,,,,
55,310,246.0,310,1444.0,994.0,919.0,,,553,1465.0,994.0,365.0,,,994.0,164.0,,,,
56,312,1422.0,312,793.0,1022.0,89.0,,,579,740.0,1022.0,305.0,,,1022.0,1836.0,,,,
57,317,57.0,317,534.0,1026.0,396.0,,,592,1101.0,1026.0,740.0,,,1026.0,1933.0,,,,
58,320,286.0,320,553.0,1052.0,1698.0,,,595,1564.0,1052.0,380.0,,,1052.0,1268.0,,,,
59,360,1227.0,360,1314.0,1065.0,1418.0,,,599,1426.0,1065.0,1740.0,,,1065.0,2032.0,,,,
60,362,111.0,362,670.0,1070.0,2019.0,,,607,692.0,1070.0,1138.0,,,1070.0,625.0,,,,
61,386,1359.0,386,1785.0,1115.0,630.0,,,615,1976.0,1115.0,642.0,,,1115.0,223.0,,,,
62,387,1322.0,387,1793.0,1133.0,981.0,,,616,1159.0,1133.0,1069.0,,,1133.0,746.0,,,,
63,394,621.0,394,1822.0,1165.0,1519.0,,,620,1535.0,1165.0,1364.0,,,1165.0,1247.0,,,,
64,396,1021.0,396,379.0,1175.0,1137.0,,,623,1899.0,1175.0,678.0,,,1175.0,1072.0,,,,
65,401,1620.0,401,863.0,1177.0,1443.0,,,626,496.0,1177.0,755.0,,,1177.0,165.0,,,,
66,403,552.0,403,60.0,1181.0,1373.0,,,628,1671.0,1181.0,417.0,,,1181.0,1087.0,,,,
67,404,417.0,404,1171.0,1212.0,1776.0,,,636,273.0,1212.0,1377.0,,,1212.0,1856.0,,,,
68,410,1957.0,410,2002.0,1220.0,1120.0,,,645,983.0,1220.0,1059.0,,,1220.0,984.0,,,,
69,416,2107.0,416,638.0,1231.0,693.0,,,658,588.0,1231.0,1518.0,,,1231.0,602.0,,,,
70,421,1705.0,421,11.0,1234.0,160.0,,,669,166.0,1234.0,1330.0,,,1234.0,1959.0,,,,
71,431,1771.0,431,1633.0,1241.0,593.0,,,677,879.0,1241.0,1501.0,,,1241.0,1477.0,,,,
72,444,641.0,444,940.0,1251.0,211.0,,,687,1708.0,1251.0,974.0,,,1251.0,677.0,,,,
