,12_1,12_2,13_1,13_3,14_1,14_4,15_1,15_5,23_2,23_3,24_2,24_4,25_2,25_5,34_3,34_4,35_3,35_5,45_4,45_5
46,290,1422.0,290,1902.0,808.0,1847.0,,,433,1386.0,808.0,2090.0,,,808.0,1953.0,,,,
47,291,373.0,291,443.0,818.0,211.0,,,452,1673.0,818.0,678.0,,,818.0,1260.0,,,,
48,292,62.0,292,1087.0,838.0,1947.0,,,463,1762.0,838.0,1334.0,,,838.0,559.0,,,,
49,295,725.0,295,993.0,845.0,1903.0,,,475,1190.0,845.0,1086.0,,,845.0,932.0,,,,
50,297,31.0,297,1031.0,854.0,1528.0,,,481,1397.0,854.0,277.0,,,854.0,1863.0,,,,
51,299,565.0,299,163.0,906.0,1837.0,,,495,2132.0,906.0,733.0,,,906.0,248.0,,,,
52,300,1481.0,300,262.0,920.0,944.0,,,498,1071.0,920.0,314.0,,,920.0,1461.0,,,,
53,304,918.0,304,1521.0,951.0,734.0,,,525,1144.0,951.0,196.0,,,951.0,861.0,,,,
54,308,1033.0,308,2028.0,979.0,93.0,,,545,1671.0,979.0,1940.0,,,979.0,1782.0,,,,
55,310,598.0,310,615.0,994.0,914.0,,,553,1649.0,994.0,1228.0,,,994.0,1872.0,,,,
56,312,1174.0,312,1703.0,1022.0,775.0,,,579,1640.0,1022.0,329.0,,,1022.0,566.0,,,,
57,317,2115.0,317,1013.0,1026.0,1161.0,,,592,647.0,1026.0,1704.0,,,1026.0,1500.0,,,,
58,320,98.0,320,284.0,1052.0,1575.0,,,595,2073.0,1052.0,178.0,,,1052.0,626.0,,,,
59,360,1525.0,360,661.0,1065.0,843.0,,,599,705.0,1065.0,1331.0,,,1065.0,1728.0,,,,
60,362,298.0,362,202.0,1070.0,1680.0,,,607,1360.0,1070.0,1700.0,,,1070.0,1994.0,,,,
61,386,1155.0,386,1311.0,1115.0,1529.0,,,615,878.0,1115.0,1909.0,,,1115.0,907.0,,,,
62,387,1667.0,387,1340.0,1133.0,231.0,,,616,1859.0,1133.0,1608.0,,,1133.0,177.0,,,,
63,394,588.0,394,1350.0,1165.0,919.0,,,620,1577.0,1165.0,563.0,,,1165.0,1571.0,,,,
64,396,279.0,396,315.0,1175.0,1721.0,,,623,1564.0,1175.0,922.0,,,1175.0,715.0,,,,
65,401,1966.0,401,821.0,1177.0,198.0,,,626,678.0,1177.0,90.0,,,1177.0,600.0,,,,
66,403,56.0,403,1824.0,1181.0,1533.0,,,628,1884.0,1181.0,1876.0,,,1181.0,2128.0,,,,
67,404,19.0,404,1826.0,1212.0,89.0,,,636,1634.0,1212.0,1448.0,,,1212.0,605.0,,,,
68,410,1101.0,410,239.0,1220.0,992.0,,,645,1757.0,1220.0,283.0,,,1220.0,695.0,,,,
69,416,286.0,416,514.0,1231.0,928.0,,,658,222.0,1231.0,1919.0,,,1231.0,738.0,,,,
70,421,1593.0,421,1309.0,1234.0,1353.0,,,669,108.0,1234.0,1641.0,,,1234.0,1887.0,,,,
71,431,1899.0,431,1822.0,1241.0,745.0,,,677,634.0,1241.0,1657.0,,,1241.0,1449.0,,,,
72,444,985.0,444,1076.0,1251.0,778.0,,,687,377.0,1251.0,642.0,,,1251.0,366.0,,,,
73,446,374.0,446,1391.0,1259.0,1544.0,,,690,733.0,1259.0,141.0,,,1259.0,1150.0,,,,
74,449,266.0,449,1432.0,1271.0,291.0,,,703,641.0,1271.0,1196.0,,,1271.0,2118.0,,,,
75,453,1187.0,453,2122.0,1367.0,74.0,,,717,425.0,1367.0,513.0,,,1367.0,553.0,,,,
76,494,75.0,494,490.0,1399.0,889.0,,,729,408.0,1399.0,365.0,,,1399.0,881.0,,,,
77,497,1655.0,497,249.0,1428.0,1786.0,,,730,1708.0,1428.0,974.0,,,1428.0,525.0,,,,
78,509,1734.0,509,632.0,1472.0,718.0,,,746,1239.0,1472.0,1308.0,,,1472.0,504.0,,,,
79,517,2006.0,517,628.0,1476.0,1519.0,,,761,1452.0,1476.0,1862.0,,,1476.0,8.0,,,,
80,530,858.0,530,1314.0,1488.0,2013.0,,,766,676.0,1488.0,31.0,,,1488.0,1393.0,,,,
81,535,1678.0,535,1618.0,1517.0,593.0,,,769,1515.0,1517.0,1647.0,,,1517.0,1948.0,,,,
