,0
0,0.8898984593020327
1,0.5
2,0.9299749552676736
3,0.8319197208976287
4,0.5781122689759637
5,0.8945057985198588
6,0.9861772758453206
7,0.650583968798808
8,0.7859526873945308
9,0.9349210384840857
10,0.7203605185175586
11,0.9551895152537079
12,0.7489437868497151
13,0.5771536245549851
14,0.9299749552676736
15,0.6872521545228698
16,0.652347440677775
17,0.9193931255346875
18,0.9738542004938666
19,0.5
20,0.9478005161335632
21,0.9694137929547676
22,0.5393709623216175
23,0.8468945887465016
24,0.9203146149965828
25,0.4608788864104407
26,0.9299749552676736
27,0.8924702843175593
28,0.5393709623216175
29,0.9075942517507369
30,0.9680443029886824
31,0.7180128559628425
32,0.8468945887465016
33,0.8924702843175593
34,0.652347440677775
35,0.655788316485342
