,0
0,0.9153324124071839
1,0.8374998417632105
2,0.6937191808575855
3,0.9153324124071839
4,0.8374998417632105
5,0.6937191808575855
6,0.7678601435048733
7,0.9434849944592268
8,0.7586051741721114
9,0.7961473929039214
10,0.927403806506471
11,0.7904283240642607
12,0.9673576725751931
13,0.8721402893127705
14,0.7293673722632896
15,0.9673576725751931
16,0.8721402893127705
17,0.7293673722632896
18,0.9394748932514856
19,0.7778519769325065
20,0.6472198950621241
21,0.9560600077096244
22,0.889948350159571
23,0.785321312922374
